boundary,external_id
"MULTIPOLYGON (((125.0536535201913 -9.307523441369105, 125.05303413515048 -9.307893425188478, 125.05239467878464 -9.308325484258939, 125.05247007490671 -9.308593459641395, 125.05265288493442 -9.308639297404685, 125.05286582145358 -9.308885003008923, 125.05316115046041 -9.30901316542049, 125.05321797309904 -9.309344073727859, 125.05374546020838 -9.30901869067589, 125.0539045302051 -9.30887886181659, 125.05408368271124 -9.308815957439329, 125.05408702521939 -9.308541871770597, 125.0540268600726 -9.308274471118176, 125.05392324231978 -9.308207620955072, 125.0537427468794 -9.308147455808276, 125.05370263678154 -9.308000385449446, 125.0536535201913 -9.307523441369105)))",228
"MULTIPOLYGON (((125.06345864622698 -9.317828340871527, 125.06370650482911 -9.317927861565638, 125.06404935703365 -9.318131580957447, 125.06435387400514 -9.318236429696379, 125.06471682536088 -9.318327720357024, 125.06482312509414 -9.318109078946991, 125.06480610204035 -9.317783574816845, 125.06465089803878 -9.31771182032054, 125.0644668018657 -9.317542083178829, 125.06424816045565 -9.317435783445573, 125.0639500975027 -9.317464913583322, 125.06366502964119 -9.317457159482329, 125.063468977296 -9.317819785817449, 125.06345864622698 -9.317828340871527)))",24
"MULTIPOLYGON (((125.06349203748724 -9.318305348140196, 125.06350615304234 -9.318205829339947, 125.06337034460937 -9.31805820135806, 125.06348637499325 -9.317863345548275, 125.06381860853969 -9.318052722401385, 125.0640269188807 -9.318167577188724, 125.0642765534978 -9.318248211759727, 125.06452796412985 -9.318309960207626, 125.06469349920044 -9.31837315964985, 125.06457242836082 -9.318647571421732, 125.06451612136618 -9.319104815222312, 125.0642657232994 -9.318971212482552, 125.06396209433538 -9.31885692068207, 125.06366612127209 -9.318615723015192, 125.06349203748724 -9.318305348140196)))",25
"MULTIPOLYGON (((125.07041545026625 -9.315035787890807, 125.07010833067858 -9.31523814021442, 125.0697295942613 -9.315077514836023, 125.06971694099805 -9.314403638674023, 125.07007941810481 -9.314384279392652, 125.0704647751592 -9.314563197470944, 125.07041545026625 -9.315035787890807)))",26
"MULTIPOLYGON (((125.16439596 -9.187011386666667, 125.164474 -9.18704959, 125.16460228999999 -9.18703428, 125.16482781666666 -9.18701107, 125.16498412666665 -9.186929923333333, 125.16508195666665 -9.18692572, 125.16512806666667 -9.186930606666666, 125.16527484666666 -9.186809, 125.16529810333333 -9.186542253333334, 125.16536948666668 -9.186342453333333, 125.16554491666666 -9.18630796, 125.16556043666667 -9.186139963333334, 125.16478548333333 -9.18590535, 125.16457576666669 -9.186070636666667, 125.16431581333335 -9.186315666666667, 125.16423125666667 -9.186516356666667, 125.16431069 -9.186778193333334, 125.16439596 -9.187011386666667)))",127
"MULTIPOLYGON (((125.16478004014616 -9.187725879373989, 125.16478127383073 -9.187846336335621, 125.16485093397421 -9.187939639661238, 125.1649047288049 -9.18801381998459, 125.16487420388965 -9.188152144400206, 125.16490330634304 -9.18828684477212, 125.16478552047916 -9.188437513648283, 125.16472604962578 -9.188515264691532, 125.16462618105372 -9.18847349783477, 125.1645071894794 -9.18844759629083, 125.16440296069891 -9.188392012644025, 125.16428790965494 -9.188338950521906, 125.16419728782543 -9.188258517982542, 125.16420910941649 -9.188177036247996, 125.1641578894343 -9.188060039872664, 125.16413703439592 -9.187965634028037, 125.16412080272882 -9.187851895342124, 125.16409579732102 -9.187764161391568, 125.1642245619636 -9.187685097990276, 125.16437675649306 -9.187657624381616, 125.16451439806775 -9.18768032155994, 125.16462209437672 -9.18772140557578, 125.16469989874379 -9.18772723811368, 125.16478004014616 -9.187725879373989)))",128
"MULTIPOLYGON (((125.16741279602796 -9.18542596174472, 125.16812395875884 -9.185332988046918, 125.16824913809829 -9.185438080013078, 125.16805176597877 -9.185857471710792, 125.16770519948174 -9.18591864040095, 125.16741446573941 -9.185733247356723, 125.16741279602796 -9.18542596174472)))",129
"MULTIPOLYGON (((125.16867065 -9.185351200000001, 125.16887796666667 -9.185381566666665, 125.16914179999999 -9.185279296666666, 125.16914184666666 -9.185279576666666, 125.16950118333334 -9.18506042, 125.16950536666666 -9.184984810000001, 125.16952273666668 -9.184421630000001, 125.16950389 -9.184410263333332, 125.16923206000001 -9.184312116666666, 125.16917221666665 -9.184315036666668, 125.16898279333333 -9.184277556666666, 125.16898116666665 -9.184295816666667, 125.16890329 -9.184651403333334, 125.16890021 -9.18465716, 125.16881589 -9.18491548, 125.16881331999998 -9.184918103333333, 125.16867065 -9.185351200000001)))",130
"MULTIPOLYGON (((125.00679897622881 -9.283451917606373, 125.00682033 -9.28377588, 125.0067982 -9.2839867, 125.00677275 -9.28414598, 125.00632137 -9.28407868, 125.00613021 -9.28405588, 125.00595151 -9.28399994, 125.00589028 -9.28395825, 125.00570429 -9.28378535, 125.00579151 -9.28359944, 125.0058902 -9.28352619, 125.00593514 -9.28341119, 125.00598782 -9.28327577, 125.0060208 -9.28319371, 125.00615055 -9.28327786, 125.00633489 -9.28336142, 125.00646196 -9.28339651, 125.00661709 -9.2834101, 125.00671841 -9.28343114, 125.00679897622881 -9.283451917606373)))",85
"MULTIPOLYGON (((125.16818324666667 -9.19186518, 125.16803643666667 -9.191828686666668, 125.16796203 -9.191905543333334, 125.16793230333333 -9.191926823333334, 125.16785372333334 -9.19196628, 125.16768280666668 -9.192057073333332, 125.16759344999998 -9.192087053333333, 125.16750194666668 -9.192149426666667, 125.16741883666667 -9.192272703333332, 125.16736286333332 -9.192418916666668, 125.16737229666667 -9.19249192, 125.16731876 -9.192629316666666, 125.16736775 -9.192778290000001, 125.16735946333334 -9.19281199, 125.16736618 -9.19282685, 125.16733277666667 -9.192935976666668, 125.16732506666665 -9.193025973333333, 125.16739336666667 -9.193079503333333, 125.16747350333333 -9.19309829, 125.16763095 -9.193104573333335, 125.16767421000002 -9.19310454, 125.16770659000001 -9.193138533333332, 125.16790941333333 -9.19315515, 125.16797774333334 -9.193171096666667, 125.16802961666667 -9.19316742, 125.16834299333334 -9.193360833333333, 125.16837864666667 -9.19325482, 125.16846270333333 -9.193133493333333, 125.16834535666668 -9.193073303333334, 125.16831537333333 -9.193022206666667, 125.16827649999999 -9.192932656666665, 125.16828988333333 -9.19293594, 125.1682432047318 -9.192876341506114, 125.1682555285978 -9.1926179934831, 125.16823161333333 -9.192446859999999, 125.16820338666666 -9.192123476666668, 125.16819623666667 -9.19189729, 125.16818324666667 -9.19186518)))",131
