external_id,boundary
1,"MULTIPOLYGON (((126.6760463 -8.568469899999991, 126.67613040000002 -8.568529599999998, 126.67603120000001 -8.5687749, 126.67563524097203 -8.569121674277763, 126.67533181607722 -8.569035475588871, 126.67530399999998 -8.568884000000002, 126.67548909999998 -8.568661499999996, 126.6758448 -8.568541500000004, 126.6759249 -8.5685007, 126.6760463 -8.568469899999991)))"
2,"MULTIPOLYGON (((126.68013229999998 -8.567191499999996, 126.68064627796412 -8.567621151233787, 126.68012659996747 -8.567990812232841, 126.67991269379853 -8.56777133641846, 126.67973835021255 -8.567535946809052, 126.67976852506396 -8.567382446182485, 126.68013229999998 -8.567191499999996)))"
3,"MULTIPOLYGON (((126.664337776601 -8.64235065736543, 126.66421607136701 -8.642262818001017, 126.66401021182499 -8.641955214329524, 126.66410217 -8.64185909, 126.66412487626101 -8.641783513033038, 126.66422814130802 -8.64170694351076, 126.66436672999998 -8.641686380000001, 126.66450407356 -8.641707937920234, 126.664549671113 -8.641646284527512, 126.664643883705 -8.641606508139754, 126.664754860103 -8.641665841249951, 126.664797440171 -8.64171788201488, 126.664997935295 -8.641971456340004, 126.66501570492998 -8.642009243871877, 126.665087118745 -8.642058301363761, 126.665177978575 -8.642195198249938, 126.66514378041002 -8.642491200305953, 126.665104217827 -8.642532633945873, 126.665037497878 -8.64256379204008, 126.66501067578797 -8.642727206258018, 126.665003634989 -8.642802781166456, 126.66497480124201 -8.642847529460393, 126.66496407240598 -8.642949290375688, 126.664911434054 -8.643045084827843, 126.66486281901598 -8.64306364707181, 126.66472066193798 -8.643050388326209, 126.66472578000001 -8.642948940000004, 126.66447693999999 -8.642694220000005, 126.66432771831802 -8.642578708148108, 126.66434749960901 -8.642441811401236, 126.664337776601 -8.64235065736543)))"
4,"MULTIPOLYGON (((126.651550680399 -8.639313723763408, 126.651546992362 -8.63931272934762, 126.65162242949 -8.639287868951891, 126.65184237062901 -8.639217596891166, 126.65204018354399 -8.63928952631167, 126.65195301175098 -8.63937637195317, 126.651846393943 -8.639531500759238, 126.65180314332198 -8.639586525063995, 126.65171395987302 -8.639660774715532, 126.65157683193698 -8.639771486222358, 126.651553027332 -8.639792700399589, 126.65131162851999 -8.64011356468476, 126.65115471929299 -8.640136767670013, 126.65104877203702 -8.640117873810707, 126.650945171714 -8.640097654065494, 126.65091432631002 -8.640043955720481, 126.65086872875702 -8.639923963094704, 126.650954224169 -8.639847393194783, 126.65102027356599 -8.639905069224746, 126.651166789234 -8.63986893883919, 126.65128279477402 -8.639663426488527, 126.65137398988001 -8.639611716911688, 126.651404835284 -8.639537135778772, 126.65146920830001 -8.63948840943061, 126.65148228406896 -8.639448632815213, 126.651492007077 -8.639371068403122, 126.651550680399 -8.639313723763408)))"
5,"MULTIPOLYGON (((126.66981484740973 -8.643672885929021, 126.66967503726482 -8.643477651168508, 126.66960395872594 -8.643190599537308, 126.66894312947987 -8.642418940027055, 126.66911914944649 -8.642080178351332, 126.66922308504579 -8.641944607301898, 126.66943430900571 -8.642464351304861, 126.66975416243075 -8.642715936314204, 126.66995670830002 -8.642757910980214, 126.67017978971359 -8.642680193982036, 126.6703673824668 -8.642577713740925, 126.67094506323335 -8.64269869992894, 126.67113281786443 -8.643196897439188, 126.67067885398865 -8.643512455335255, 126.67029093950985 -8.643671560056628, 126.67007233947511 -8.643712993566792, 126.66981484740973 -8.643672885929021)))"
6,"MULTIPOLYGON (((126.7050856 -8.5800949, 126.7048723 -8.580228899999994, 126.70473049999997 -8.580211599999993, 126.70443750000001 -8.580031000000007, 126.70443480000002 -8.579808199999997, 126.70447299999998 -8.579594000000005, 126.70467019999997 -8.579496199999994, 126.70484483242032 -8.579344700136458, 126.70474492013453 -8.579118268861183, 126.7049916833639 -8.579112301417245, 126.70527669999998 -8.579391099999993, 126.70541880000002 -8.579543899999988, 126.70542319999997 -8.579679199999996, 126.70519420000001 -8.5799617, 126.7050856 -8.5800949)))"
7,"MULTIPOLYGON (((126.63544401526451 -8.623700078359846, 126.63548357784748 -8.62377565707894, 126.63541316986084 -8.623892339983966, 126.63522072136402 -8.623816429802691, 126.63507655262947 -8.623796540669703, 126.63511678576467 -8.62373786772128, 126.63523748517036 -8.623645714710472, 126.63525123149157 -8.623513451896661, 126.63523379713297 -8.623461077135538, 126.63525927811861 -8.623428260034677, 126.63533337414265 -8.623379200121004, 126.63538534194228 -8.623571793394172, 126.63541451096533 -8.623646046196152, 126.63544401526451 -8.623700078359846)))"
8,"MULTIPOLYGON (((126.68623063713312 -8.570875813351348, 126.68641307786514 -8.570898205101974, 126.68651482218468 -8.571100993168628, 126.68662995100021 -8.570981903529063, 126.68681703507896 -8.571053514382289, 126.68678984979837 -8.571247189149563, 126.68673738788358 -8.571317929120154, 126.6865577455695 -8.571402817067494, 126.68629861550572 -8.571288061134178, 126.68617620437128 -8.57133993710832, 126.68606568127868 -8.5710647864598, 126.68623063713312 -8.570875813351348)))"
9,"MULTIPOLYGON (((126.68503769016002 -8.568539207709687, 126.68503903278507 -8.567857744996552, 126.68514789291605 -8.567758641137065, 126.6855479538976 -8.567680832303678, 126.68581679109077 -8.568092692413805, 126.68579194607098 -8.568289868303232, 126.68580738405798 -8.56846215240037, 126.68578900550197 -8.56865697145415, 126.68562433364599 -8.568924484022093, 126.68549935946997 -8.568841613301053, 126.68534939045898 -8.568908491428221, 126.685261173393 -8.568904129811575, 126.68503769016002 -8.568539207709687)))"
10,"MULTIPOLYGON (((126.67537389999997 -8.638734200000005, 126.67537369999997 -8.638734599999992, 126.67554540000002 -8.639019900000006, 126.67548239999999 -8.639181499999998, 126.67504250000002 -8.639236499999997, 126.67458210000001 -8.639865400000005, 126.67457579999997 -8.639928, 126.67456400000002 -8.639957599999997, 126.67451059999999 -8.640048500000004, 126.67450860000001 -8.640059300000006, 126.6744281883266 -8.640139488402445, 126.6742492 -8.6399309, 126.67406448659334 -8.639569403527563, 126.67400003312159 -8.639441959285948, 126.67390335291401 -8.63923486230149, 126.67381357843551 -8.638865614923384, 126.67384638064878 -8.63882237483696, 126.67388839050086 -8.638795065306155, 126.67400808980551 -8.638765479978874, 126.6741254872004 -8.638748411519774, 126.67418994067211 -8.638711998804432, 126.67412879999998 -8.6385941, 126.67431525886099 -8.638441951577112, 126.67450670152901 -8.63838626415985, 126.674529500306 -8.63836538137627, 126.6746002 -8.638360899999991, 126.67465469999998 -8.638348899999997, 126.67469919999998 -8.6383483, 126.6747604 -8.6382903, 126.67480656473425 -8.638263666958723, 126.67484051790242 -8.638272201199342, 126.67486296152208 -8.638288700730657, 126.67497150000001 -8.638386700000003, 126.67511589999997 -8.63846380000001, 126.67516229999998 -8.638472499999997, 126.67523760000002 -8.638498999999998, 126.67533109999997 -8.638538999999996, 126.67538950000001 -8.638632799999998, 126.67539300000001 -8.638685999999993, 126.67537349999998 -8.638714499999994, 126.67537389999997 -8.638734200000005)))"
