id,rainfall_mm,temperature_celsius,elevation_m,ph,soil_texture,area_ha,slope,latitude,longitude,coastal,riparian,is_predicted
1740,1407,23,473,7.8,clay,4.33,3.3384905357992194,-8.513353109,126.9491203022298,False,False,False
1741,1407,23,474,7.8,clay,3.42,3.2031484660211977,-8.515353844,126.94857314815374,False,False,False
1742,1407,23,473,7.8,clay,6.44,3.7787379489447206,-8.512550699,126.9464238953588,False,False,False
1743,1407,23,477,7.8,clay,3.46,4.427219594011268,-8.511685433,126.94533468927597,False,False,False
1744,1407,23,472,7.8,clay,3.95,4.010320016627912,-8.510812488,126.94456088180368,False,False,False
1745,1385,23,453,7.8,clay,0.46,4.612111294361582,-8.514678191,126.95503193949637,False,False,False
1746,1385,23,447,7.8,clay,0.15,6.225159107827445,-8.515418824,126.9550612071884,False,False,False
1747,1371,23,402,6.7,clay,0.39,3.3807507106300947,-8.430206717,127.0400230075211,False,False,False
1749,1385,23,461,7.8,clay,0.3,3.243389111686509,-8.533735727,126.9603497928763,False,False,False
1750,1584,23,342,6.8,clay,1.12,3.541062749548268,-8.469823622,127.1527923,False,False,False
1751,1584,23,361,6.7,clay,1.28,10.354917616367151,-8.472246115,127.15891037644582,False,False,False
1752,1407,23,469,6.6,clay,0.45,7.207647458856506,-8.527939079,126.9471923771462,False,False,False
1753,1433,23,350,6.8,clay,17.07,2.282549624451108,-8.46220697,127.07064044314612,False,False,False
1754,1357,23,354,6.7,clay,0.66,2.6302245936572266,-8.437917281,127.08576595019775,False,False,False
1756,1433,23,350,6.8,clay,0.59,1.5477184047566692,-8.456758719,127.07169515559468,False,False,False
1757,1433,23,346,6.8,clay,7.56,2.948502424337558,-8.472035182,127.07288096681204,False,False,False
1759,1385,24,407,7.8,clay,0.61,2.229279177966139,-8.50582655,126.9828164602445,False,False,False
1760,1385,24,408,7.8,clay,0.76,2.861492703319432,-8.506328908,126.98259233949862,False,False,False
1761,1433,23,357,6.7,clay,4.55,3.977035985585585,-8.457350227,127.06690631853134,False,False,False
1762,1442,25,392,7.8,clay,6.21,2.306925152432549,-8.489315602,126.98948558388648,False,False,False
1763,1442,25,396,7.8,clay,2.84,2.7750229773199075,-8.490349751,126.98946315027736,False,False,False
1764,1385,24,411,7.8,clay,0.64,1.669570462793373,-8.509478153,126.98190920949108,False,False,False
1765,1380,25,371,7.8,clay,2.59,2.0068600296314223,-8.489434978,127.01771700465588,False,False,False
1766,1584,23,342,6.8,clay,2.78,3.180221540604179,-8.469194635,127.15385921446357,False,False,False
1767,1380,25,364,7.8,clay,1.22,2.127801174316589,-8.493706843,127.02903875661065,False,False,False
1768,1385,23,456,7.8,clay,0.42,1.7426554529659588,-8.530873119,126.9605637381439,False,False,False
1769,1385,23,448,6.6,clay,3.92,3.6476635966582753,-8.535827192,126.96548107977306,False,False,False
1770,1371,23,398,6.7,clay,0.06,4.488696463497839,-8.430590962,127.03963388843188,False,False,False
1771,1402,24,348,6.8,clay,0.57,1.6480617470536414,-8.519889361,127.09118665895008,False,False,False
1772,1371,23,410,6.7,clay,0.91,2.660419695931418,-8.429135978,127.04275646866094,False,False,False
1773,1371,24,405,6.7,clay,1.15,3.638933459541162,-8.428835494,127.03749457195266,False,False,False
1774,1402,24,349,6.8,clay,0.45,1.968925394446476,-8.516158128,127.08675587371548,False,False,False
1775,1402,24,349,6.8,clay,0.53,1.736774304679048,-8.518765232,127.09207165159366,False,False,False
1776,1402,24,349,6.7,clay,0.45,3.3830203299123256,-8.519727597,127.09216923781317,False,False,False
1777,1402,23,353,6.7,clay,0.97,2.851824765142769,-8.520652832,127.09202448303058,False,False,False
1778,1402,24,343,6.8,clay,0.31,4.278339077,-8.506997178,127.0941816170835,False,False,False
1779,1459,23,350,6.7,clay,0.19,0.9548412538721888,-8.506264366,127.10401954159474,False,False,False
1780,1493,22,342,6.8,clay,0.57,2.331119742761642,-8.477575009,127.13357248504512,False,False,False
1781,1493,23,343,6.8,clay,0.78,3.7849136744967904,-8.483482109,127.12409716938151,False,False,False
1782,1371,23,387,6.7,clay,0.2,2.4336676218675826,-8.435002056,127.0364822389519,False,False,False
1783,1380,24,373,6.7,clay,5.51,2.187339571596998,-8.450896325,127.04050881501544,False,False,False
1784,1371,23,394,6.7,clay,0.4,2.880695425251588,-8.433799683,127.03826170760064,False,False,False
1785,1371,23,396,6.7,clay,0.07,3.4389123953782974,-8.433186582,127.03825973096994,False,False,False
1786,1385,23,446,7.8,clay,0.63,4.941632812974799,-8.515568205,126.95575972462512,False,False,False
1787,1385,23,452,7.8,clay,0.69,6.854130128750616,-8.527550296,126.9571033231041,False,False,False
1789,1385,23,454,7.8,clay,0.45,6.648930558,-8.518274689,126.95274978893136,False,False,False
1790,1385,23,454,6.6,clay,1.05,3.8716640354140863,-8.534983355,126.96284840600715,False,False,False
1791,1385,24,444,7.8,clay,0.75,4.377660161931787,-8.522747434,126.96722725234709,False,False,False
1792,1385,23,452,6.6,clay,0.99,3.973511236633546,-8.53544198,126.9636447257321,False,False,False
1793,1407,23,463,6.6,clay,0.2,4.411169244,-8.519712438,126.94699062798168,False,False,False
1794,1371,23,414,6.7,clay,2.15,7.795005632349143,-8.426012923,127.04431654318095,False,False,False
1795,1584,23,352,6.7,clay,1.93,2.716179283006616,-8.471092495,127.15881047067276,False,False,False
1796,1492,26,70,6.7,clay,1.4,6.030224832996078,-8.809012467,126.53152519140733,True,False,False
1797,1433,23,350,6.8,clay,2.97,1.8567932688551545,-8.458983757,127.07476273771074,False,False,False
1801,1385,24,417,6.7,clay,0.85,2.823845872329496,-8.534934178,126.99048586756564,False,False,False
1802,1586,24,401,6.5,sandy clay,1.03,21.30580180303841,-8.576897412,126.87918827822428,False,False,False
1803,1357,23,355,6.7,clay,2.95,2.581191242,-8.443849171,127.07785183488107,False,False,False
1804,1489,24,262,6.0,sandy loam,2.7,11.063131906480333,-8.562173331,126.91677936407211,False,False,False
1805,1380,25,365,7.8,clay,2.61,1.7434465918304547,-8.495901316,127.0274390559192,False,False,False
1806,1371,24,405,6.7,clay,0.04,1.719155746750141,-8.429598797,127.03532710642386,False,False,False
1807,1371,23,380,6.7,clay,0.35,2.781619366810414,-8.437275637,127.0437016,False,False,False
1808,1492,25,3,8.2,sandy loam,1.85,2.184507463476644,-8.94651548,126.47632677721928,True,False,False
1809,1402,23,369,6.7,clay,1.14,3.624525719320485,-8.522197897,127.09689604448356,False,False,False
1811,1573,25,52,7.2,clay,0.93,4.983086994407703,-8.841731448,126.49994892965702,True,False,False
1812,1489,23,364,7.9,clay,0.59,8.289560795984194,-8.555588031,126.94777753677104,False,False,False
601,2034,25,293,8.2,sandy loam,0.32,5.976560232173509,-8.677861577,126.69863900372825,False,False,False
1815,1678,25,80,7.4,clay loam,0.29,17.67003375697039,-8.775768509,126.5438662175359,True,False,False
1816,1492,25,144,7.4,clay loam,0.12,8.183205740393932,-8.79674132,126.52082257723912,False,False,False
1817,1433,23,351,6.8,clay,8.55,2.947227744950428,-8.458504144,127.06939282910945,False,False,False
1818,1492,26,62,6.7,clay,2.96,9.651556265731198,-8.808023417,126.53220490176514,True,False,False
1819,1433,23,363,6.7,clay,5.55,2.3510250461508115,-8.453982012,127.05256299237058,False,False,False
1820,1489,24,263,6.0,sandy loam,0.94,10.901828322437364,-8.561214855,126.9159709,False,False,False
1821,2034,25,312,8.2,sandy loam,1.01,13.069881668093196,-8.674333236,126.69718200471556,False,False,False
1822,1402,23,351,6.7,clay,0.23,1.3104695571052405,-8.517443742,127.09426670681944,False,False,False
1823,1489,24,194,7.9,clay,0.1,2.728068964187724,-8.556115958,126.9235177,False,True,False
1824,1779,25,51,7.5,loam,1.48,5.225740134210603,-8.77292807,126.55314845998411,True,False,False
1825,1489,23,378,7.9,clay,0.24,11.257335348838868,-8.554921237,126.94750331297848,False,False,False
